City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hasaki,JP,35.7333,140.8333,64.8,81,100,13.02,light rain
79,Dunedin,NZ,-45.8742,170.5036,57.79,75,100,14.0,overcast clouds
80,Grand Gaube,MU,-20.0064,57.6608,81.37,54,100,8.01,overcast clouds
81,Dikson,RU,73.5069,80.5464,6.6,97,98,4.85,overcast clouds
82,Pisco,PE,-13.7,-76.2167,64.45,88,0,2.3,clear sky
83,Zhangye,CN,38.9342,100.4517,16.72,37,95,2.17,overcast clouds
84,Livny,RU,52.4253,37.6069,20.84,78,57,9.78,broken clouds
85,Boyolangu,ID,-8.1181,111.8935,83.08,70,96,8.81,overcast clouds
86,Haines Junction,CA,60.7522,-137.5108,-13.05,77,5,3.44,clear sky
87,Stornoway,GB,58.2093,-6.3865,49.93,82,20,14.97,few clouds
88,Castro,BR,-24.7911,-50.0119,58.39,98,95,3.76,light rain
89,Nikolskoye,RU,59.7035,30.7861,26.49,93,100,3.76,overcast clouds
90,Codrington,AU,-38.2667,141.9667,61.09,64,91,10.58,overcast clouds
91,Cidreira,BR,-30.1811,-50.2056,70.36,90,61,15.68,broken clouds
92,Noumea,NC,-22.2763,166.4572,89.58,99,69,8.19,broken clouds
93,Jamestown,US,42.097,-79.2353,49.59,78,40,16.11,scattered clouds
94,San Patricio,US,28.017,-97.5169,73.26,92,2,2.84,clear sky
95,Khandyga,RU,62.6667,135.6,-33.93,99,100,0.72,overcast clouds
96,Hermanus,ZA,-34.4187,19.2345,64.8,81,11,9.51,few clouds
97,Port Shepstone,ZA,-30.7414,30.455,69.87,74,0,22.06,clear sky
98,Saint George,US,37.1041,-113.5841,37.99,32,0,4.61,clear sky
99,Tura,IN,25.5198,90.2201,78.49,44,0,1.54,clear sky
100,Lunenburg,CA,44.3835,-64.3155,30.25,69,13,3.44,few clouds
101,Kondopoga,RU,62.2057,34.2614,26.28,97,94,1.7,overcast clouds
102,Copiapo,CL,-27.3667,-70.3333,56.89,80,1,2.48,clear sky
103,Opuwo,NA,-18.0607,13.84,72.73,40,40,2.35,scattered clouds
104,Auki,SB,-8.7676,160.7034,81.46,82,82,2.44,broken clouds
105,Kavieng,PG,-2.5744,150.7967,84.54,62,100,6.2,overcast clouds
106,Marrakesh,MA,31.6315,-8.0083,50.07,53,0,3.44,clear sky
107,Puerto Suarez,BO,-18.95,-57.8,74.79,47,32,1.3,scattered clouds
108,Sao Filipe,CV,14.8961,-24.4956,73.69,65,15,8.37,few clouds
109,Yar-Sale,RU,66.8333,70.8333,-5.98,100,72,1.81,broken clouds
110,Saint Anthony,US,45.0205,-93.218,22.95,78,100,18.41,overcast clouds
111,Flinders,AU,-34.5833,150.8552,71.06,63,23,4.0,few clouds
112,Rimbey,CA,52.6334,-114.2353,-5.39,100,98,2.24,overcast clouds
113,Bethel,US,41.3712,-73.414,34.77,88,20,0.0,few clouds
114,Asau,RO,46.4333,26.4,33.28,96,100,3.29,overcast clouds
115,Flin Flon,CA,54.7682,-101.865,-2.06,92,100,12.86,overcast clouds
116,Vao,NC,-22.6667,167.4833,79.43,78,92,0.76,overcast clouds
117,Korem,ET,12.5058,39.5228,53.62,52,1,3.2,clear sky
118,Mezen,RU,65.8522,44.24,29.8,90,99,7.78,overcast clouds
119,Walvis Bay,NA,-22.9575,14.5053,60.1,78,48,5.3,scattered clouds
120,Yerbogachen,RU,61.2767,108.0108,0.97,95,100,11.86,light snow
121,Ancud,CL,-41.8697,-73.8203,44.04,77,4,7.11,clear sky
122,Sao Jose De Ribamar,BR,-2.5619,-44.0542,75.74,90,100,5.59,overcast clouds
123,East London,ZA,-33.0153,27.9116,76.14,69,0,5.75,clear sky
124,Kedrovyy,RU,56.1667,91.8167,0.01,82,26,5.84,scattered clouds
125,Bluff,NZ,-46.6,168.3333,51.4,74,67,19.77,broken clouds
126,Adrar,MR,20.5022,-10.0711,60.22,21,0,8.81,clear sky
127,Hobart,AU,-42.8794,147.3294,66.06,52,75,12.66,broken clouds
128,Kudahuvadhoo,MV,2.6708,72.8944,80.56,66,100,5.77,overcast clouds
129,Khorixas,NA,-20.3667,14.9667,73.42,35,75,0.96,broken clouds
130,Ballina,AU,-28.8667,153.5667,69.01,70,100,12.21,overcast clouds
