City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Jequie,BR,71.08,overcast clouds,-13.8575,-40.0836,Hotel Bizzon
508,Veraval,IN,83.35,clear sky,20.9,70.3667,Shyam
510,Kilindoni,TZ,80.6,broken clouds,-7.9139,39.6668,Ibizza Inn
523,Luanda,AO,73.4,light intensity drizzle,-8.8368,13.2343,Hotel Forum
525,Kang,BW,75.72,broken clouds,-23.6752,22.7876,Nkisi Guest House
526,Fare,PF,79.75,clear sky,-16.7,-151.0167,hôtel Maitai Lapita Village
529,Praia,CV,72.14,few clouds,14.9215,-23.5087,Casa Sodadi
530,Salalah,OM,78.89,few clouds,17.0151,54.0924,Muscat International Hotel
532,Mahibadhoo,MV,80.83,broken clouds,3.7833,72.9667,Coral View Inn
537,Manado,ID,84.97,scattered clouds,1.487,124.8455,Swiss Belhotel
549,Rafaela,AR,75.97,overcast clouds,-31.2503,-61.4867,Toscano
551,San Rafael,AR,72.91,broken clouds,-34.6177,-68.3301,Hotel Regional
554,Imbituba,BR,72.86,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
556,Florianopolis,BR,70.41,overcast clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
560,Mabaruma,GY,71.44,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
563,Praya,CV,72.14,few clouds,14.9215,-23.5087,Casa Sodadi
567,Mae Sai,TH,87.66,few clouds,20.4335,99.8762,ปิยะพรฮิลล์ พาราไดซ์
568,Sibolga,ID,84.45,broken clouds,1.7427,98.7792,Hotel Prima Indah
571,Marsh Harbour,BS,76.91,broken clouds,26.5412,-77.0636,Lofty Fig Villas
572,Marawi,PH,72.88,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
574,Piacabucu,BR,72.75,moderate rain,-10.4056,-36.4344,O Leão
577,Formosa,AR,73.38,clear sky,-26.1775,-58.1781,Hotel Hostal del Rey
583,Ilhabela,BR,71.6,overcast clouds,-23.7781,-45.3581,Vila Kebaya
586,Cayenne,GF,71.64,broken clouds,4.9333,-52.3333,Central Hôtel
588,Mana,GF,75.52,overcast clouds,5.6592,-53.7767,Le Samana
595,Bodden Town,KY,78.93,overcast clouds,19.2833,-81.25,Turtle Nest Inn
599,Reconquista,AR,72.28,clear sky,-29.15,-59.65,Hotel San Martin
601,Odweyne,SO,74.23,clear sky,9.4092,45.064,فندق المدينه
610,Maceio,BR,74.64,moderate rain,-9.6658,-35.7353,Maceió Hostel e Pousada
612,Venice,US,71.01,few clouds,27.0998,-82.4543,El Patio
616,Geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
619,Inyonga,TZ,71.37,overcast clouds,-6.7167,32.0667,Mikumi Lodge
623,Ibra,OM,80.31,broken clouds,22.6906,58.5334,الدكيك
628,Soyo,AO,74.16,light rain,-6.1349,12.3689,Hotel Maria Teres
632,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Hotel Hero
635,Mackay,AU,76.1,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
639,Madhipura,IN,80.37,few clouds,25.9167,86.7833,Ganga Hotel
644,Ilam,NP,70.11,few clouds,26.9167,87.9167,Hotel Pokhereli
657,Dwarka,IN,80.35,clear sky,22.2394,68.9678,The Dwarika Hotel
665,Bako,ET,74.68,overcast clouds,5.7833,36.5667,Goh Hotel
679,Lodwar,KE,86.67,broken clouds,3.1191,35.5973,Lodwar Modern Lodge
680,Novo Aripuana,BR,72.32,scattered clouds,-5.1206,-60.3797,Hotel Novo Aripuanã
684,Bushehr,IR,73.49,clear sky,28.9684,50.8385,هتل رستوران سیراف
